experiment,SR,LLM,w1,w2,w3,w4,MAE,MSE,R^2,distance,best_equation
ball_drop,pysr,llama,0.06130734015182421,0.3802907993197775,0.03742410529584203,0.5209777552325563,7.313693139851063,81.18902325604553,0.8739994050935729,999.0,(((exp(x2) / x1) + (exp(3.0865195 / x0) / sin(x1))) - (((x4 * 0.7537075) - (x0 + x0)) + (x3 ^ 1.8957002))) - x2
ball_drop,pysr,mistral,0.018754748256038203,0.736591461798506,0.055191941213259835,0.18946184873219593,4.095101727943137,42.1686316497648,0.9345567607396396,999.0,x0 + (((16.552383 * cos(-0.47772738 / cos(x0 * (x0 - x1)))) + (((x3 + x0) * -9.528973) + (96.198296 - x2))) - cos(x0))
ball_drop,pysr,falcon,0.02919612069681768,0.3490244651394749,0.0024508300196911166,0.6193285841440164,5.377603865045036,38.559932324456355,0.9401572501111314,999.0,((-12.042106 / cos(x0)) + 104.57768) - ((((((x0 + x3) * 29.987795) + -63.169292) / (92.74725 ^ x1)) - x2) - cos(sin(x3 + log(2.153883 ^ x5))))
ball_drop,deap,llama,0.005781584310509414,0.6170959054231491,0.21725361562785303,0.15986889463848847,35.0099234838153,1829.6893234385484,-1.8395703507866585,1.0,"sub(protected_div(ARG0, 1), sub(neg(ARG0), ARG0))"
ball_drop,deap,mistral,0.022146053548568054,0.39532729944606065,0.09292529778211828,0.489601349223253,32.63777656730536,1614.1001297918187,-1.5049885863378276,1.0,"add(add(add(1, ARG0), ARG0), add(add(ARG0, ARG0), ARG0))"
ball_drop,deap,falcon,0.027849389458845786,0.4868457030222809,0.16037773132036057,0.3249271761985126,33.359948415764364,1679.5934584009954,-1.6066303851452037,1.0,"sub(ARG0, sub(sub(sub(-1, ARG0), ARG0), ARG0))"
ball_drop,gplearn,llama,0.0010225069542432851,0.10100968914150575,0.5882967343165294,0.3096710695877214,24.630311514991398,944.5497131787221,-0.4658856703310823,1.0,"add(add(add(add(add(X1, X4), add(div(X2, X1), X5)), X5), div(X2, X1)), div(X2, X1))"
ball_drop,gplearn,mistral,0.00285775210207549,0.3578260272557294,0.40514960783145204,0.2341666128107431,23.59116997113631,891.906187421972,-0.3841860107305044,1.0,"add(mul(cos(sin(0.256)), add(add(div(X4, X0), X5), div(X1, X4))), add(sub(add(X3, X5), div(X0, X4)), add(add(add(X2, X5), add(X3, X5)), add(X2, X5))))"
ball_drop,gplearn,falcon,0.05828593695736845,0.5844294358123757,0.01029022147627141,0.34699440575398455,24.648825591795635,919.5129038753287,-0.42703001299871723,1.0,"mul(cos(cos(add(X0, sub(add(div(X1, X4), X5), sub(-0.918, X5))))), sub(sub(add(X4, X5), sub(-0.918, add(X1, X5))), sub(add(-0.461, 0.383), add(add(add(add(add(div(X1, X4), add(X5, X3)), add(X1, X5)), add(cos(0.870), X1)), cos(X1)), X4))))"
shm,pysr,llama,0.2367329521566845,0.2793473512344461,0.05271574350119542,0.431203953107674,0.11624090081144227,0.04883723789100226,0.9997910684505917,999.0,(((x1 + sin(sin(sin((x1 + (x2 / -0.015392544)) / (x3 ^ x4)) * (sin(x0) / x0)))) * x5) * -0.99924034) / x0
shm,pysr,mistral,0.1169143001309336,0.5715722683425895,0.019628827408770408,0.29188460411770656,0.11637509051094665,0.04889312791045833,0.9997908293463985,999.0,(-0.0025836884 - (x5 * (x1 + (((x5 - x2) - 0.37798768) / exp(x0))))) / x0
shm,pysr,falcon,0.7058715436639207,0.19691154621133072,0.07597537238756885,0.021241537737179742,0.11624082094260729,0.048837237846272544,0.999791068450783,999.0,((x1 - -0.01403794) / ((x0 / (x5 * -0.9989479)) - -0.0017029687)) - (((((x0 - 0.30688268) - -0.01403794) / (x0 + (-0.9989479 + (x5 - cos(x5))))) / 4512.3594) + -0.0044160555)
shm,deap,llama,0.0,0.2788808611728658,0.3060960813551383,0.4150230574719959,10.129327235571532,233.74756498162787,-6.206388203366942e-08,1.0,"protected_div(protected_div(0, 1), add(ARG0, 1))"
shm,deap,mistral,0.05118785360556816,0.36569205823015355,0.38344403207376704,0.1996760560905114,10.129327235571532,233.74756498162787,-6.206388203366942e-08,1.0,"sub(ARG0, ARG0)"
shm,deap,falcon,0.02190771691108715,0.009010808119586313,0.7259638220822251,0.2431176528871015,10.129327235571532,233.74756498162787,-6.206388203366942e-08,1.0,"protected_div(0, ARG0)"
shm,gplearn,llama,0.010098750676398446,0.06398679539766827,0.8606478534239095,0.06526660050202376,4.935549376023262,102.44889469646537,0.5617113655798135,1.0,"sub(sub(mul(X5, cos(X0)), X5), add(X5, X5))"
shm,gplearn,mistral,0.050917497028564095,0.7631804765325824,0.09099818693916309,0.09490383949969046,5.922313502032283,104.1332584668905,0.554505455755274,1.0,"sub(sub(sub(X4, X4), add(X5, X5)), add(X5, X5))"
shm,gplearn,falcon,0.010833116480073682,0.23491786605321094,0.06894428247433963,0.6853047349923759,5.907697750161964,105.10211360951494,0.5503605774852843,1.0,"add(div(X5, -0.512), div(X5, -0.512))"
wave,pysr,llama,0.3188701030837768,0.5432374573338271,0.0,0.13789243958239614,1.0254611713086512,1.9272669361042842,0.11314821790313578,999.0,(sin((x5 / cos(x2)) * cos(0.34313747)) * x2) * (x1 * (sin(sin(sin(x4 * x2))) * (x0 - x5)))
wave,pysr,mistral,0.08184436432243036,0.6835623438843603,0.11042097480188721,0.124172316991322,0.6562936834570934,0.6820281197826886,0.6861577178861942,1.0,cos((x5 * x3) - (x2 * x4)) / sin(1.7584649 - x2)
wave,pysr,falcon,0.42479886169230235,0.21698840828214244,0.10544343013773794,0.2527692998878174,0.9132194629460195,1.5366557178301323,0.29289200354275746,999.0,(cos(x3 * x5) * cos(x4 * x2)) * log(x0 / x1)
wave,deap,llama,0.08812495978252262,0.6310827878861449,0.10672536482784097,0.1740668875034915,1.1004774147868799,2.1733045483129874,-6.853000164874778e-05,1.0,"add(protected_div(ARG0, ARG0), neg(1))"
wave,deap,mistral,0.028977752514270663,0.1338573106793078,0.5354238449390716,0.30174109186734976,1.1004774147868799,2.1733045483129874,-6.853000164874778e-05,1.0,"mul(ARG0, 0)"
wave,deap,falcon,0.011433794610471549,0.2687675355542158,0.5450477780211896,0.17475089181412307,1.1004774147868799,2.1733045483129874,-6.853000164874778e-05,1.0,"add(-1, 1)"
wave,gplearn,llama,0.06222699513488872,0.4165092117113643,0.24479432824657624,0.2764694649071708,1.1008607093047167,2.1754228055371003,-0.001043267936987169,999.0,-0.035
wave,gplearn,mistral,0.02889490822151078,0.35755457154613945,0.31212968276410363,0.3014208374682461,1.1004774147868799,2.1733045483129874,-6.853000164874778e-05,1.0,"sub(X1, X1)"
wave,gplearn,falcon,0.19027888129453208,0.4099152846569927,0.30978168572773934,0.09002414832073592,1.1007837171419639,2.1751264889117707,-0.0009069147820008894,999.0,-0.032
